question,document
"Does a passed deadline automatically block homework submissions, or does the form have to be closed first?",a9353fadfe
I missed the deadline but the submission page is open — can I still send in my homework?,a9353fadfe
When exactly do homework submissions stop being accepted: after the deadline or only when the form closes?,a9353fadfe
"The deadline has passed, but the form still works. Should I submit now or is it already too late?",a9353fadfe
"Can I still turn in homework after the deadline, or is it closed for good once the form shuts?",cdc3b285e5
Do you ever give deadline extensions for assignments in this course?,cdc3b285e5
"If I miss one homework, will that stop me from getting the certificate?",cdc3b285e5
"Are late homework submissions accepted at all, or only while the form is still open?",cdc3b285e5
"Does skipping a homework affect the certificate requirement, or just my leaderboard score?",cdc3b285e5
"Will the name I enter for my certificate be visible to other people online, or is it kept private?",651ba06b34
"Is the certificate name shared with third parties, or does it stay only on the certificate itself?",651ba06b34
What name shows up on the public leaderboard if I set a different name for the certificate?,651ba06b34
"In Edit Course Profile, which field is for the leaderboard nickname and which one is for the certificate name?",651ba06b34
Can I use a real name on the certificate but keep a random nickname on the public leaderboard?,651ba06b34
Why doesn't the course start with LangChain right away?,b7cdde6b25
What's the reason for building RAG components manually before using a framework?,b7cdde6b25
Is LangChain avoided in the course because students should learn the basics first?,b7cdde6b25
"Why do we need to understand prompting, retrieval, and indexing before frameworks like LangChain?",b7cdde6b25
Wouldn't it be easier to use LangChain instead of coding the core pieces ourselves?,b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
"What does the ""OpenAI API Error: Insufficient credits"" message mean in `responses.create`?",f5df151c59
How can I fix the error I see when calling OpenAI `responses.create` in the RAG module?,f5df151c59
Is an OpenAI credit balance problem the reason my `responses.create` command fails?,f5df151c59
What should I check if `responses.create` returns an insufficient credits error?,f5df151c59
Why am I getting OpenAI RateLimitError 429 saying I exceeded my quota?,152af39a53
Do I need to add money to my OpenAI account before the API works?,152af39a53
How can I fix the 429 insufficient_quota error in my Python code?,152af39a53
Which OpenAI model should I use in responses.create if my account only has limited access?,152af39a53
"After adding billing credits, do I need to make a new API key or can I keep the old one?",152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
Do I need to put in a lot of money before I can start using the OpenAI API?,554d0eb78b
"What's the minimum recharge amount for OpenAI API credits, and is that enough for course work?",554d0eb78b
"Will using the OpenAI API for the course cost more than a few cents, or is it really cheap?",554d0eb78b
"Can I start with something like $5 on the OpenAI API, and how much usage does that usually cover?",554d0eb78b
"Do I need to pay for the OpenAI API to finish the homework in this course, or are there free options I can use instead?",85384a18e5
"If I don't want to subscribe to OpenAI, what alternatives are recommended for the course assignments?",85384a18e5
"Is using the OpenAI API required for Module 1, or can I complete everything without buying a plan?",85384a18e5
Where can I find the list of cheap or free replacements for the OpenAI API in the course repo?,85384a18e5
"Can I do the course homework without spending money on OpenAI, and if yes, which APIs should I look at?",85384a18e5
Why does the course use uv instead of pip and virtualenv?,f81dea8f7e
"Do I really need uv for the setup, or can I just use pip and venv like usual?",f81dea8f7e
What makes uv better than the older Python tools for managing dependencies and environments?,f81dea8f7e
"Can uv handle Python versions, virtual environments, and installs all in one place?",f81dea8f7e
"Is uv required in the lessons, or is it just used because it’s faster and simpler?",f81dea8f7e
"Why does my notebook keep saying OPENAI_API_KEY is missing, even though I put it in a .env file?",86d99bbf21
"Do I need python-dotenv for the API key to show up inside Jupyter, or is there another way?",86d99bbf21
Where should I load the .env file in the notebook so the OpenAI client can see the key?,86d99bbf21
"If the API key still isn't detected, what should I check about the variable name in my .env file?",86d99bbf21
What’s the proper setup to make OPENAI_API_KEY available before creating the client in Jupyter?,86d99bbf21
How do I keep my API keys out of git and load them in Python with a .env file?,233dabe430
"What’s the easiest way to store OpenAI, Groq, or Gemini keys locally without hardcoding them?",233dabe430
"Do I need a package to read environment variables from .env, and how do I use it?",233dabe430
What should go into .gitignore if I’m putting my keys in a .env file?,233dabe430
Can you show a simple example of loading OPENAI_API_KEY and GROQ_API_KEY from .env in Python?,233dabe430
"Can I swap the homework model for a different one, or do I have to use the suggested provider?",ee43413718
"Does the assignment work with Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model instead of the default one?",ee43413718
"If I use another LLM provider, what parts of the code usually need changes?",ee43413718
"Is a paid API required for the homework, or can I finish it without spending money?",ee43413718
Where can I find a list of alternative API providers for the course?,ee43413718
How do I set up Gemini in the Module 1 notebook if I want to use the OpenAI-style API endpoint?,0ae5c221b9
What do I need in my .env file to call Google Gemini from the notebook?,0ae5c221b9
How do I make an OpenAI client work with Google’s Gemini base URL?,0ae5c221b9
Which Gemini model name should I pass when I use the chat completions version in the course code?,0ae5c221b9
Why does the notebook need code changes when switching from Responses format to the older chat completions method?,0ae5c221b9
How do I get a Pydantic object back from Gemini if `responses.parse` doesn’t work on the OpenAI-compatible URL?,341f71f28c
"Is there a way to use the OpenAI SDK with Gemini and still have parsed structured output, not raw JSON?",341f71f28c
What should I use instead of the Responses API when I need `chat.completions.parse` with Gemini?,341f71f28c
How can I define a schema like a list of questions and answers and have Gemini return it directly as a parsed object?,341f71f28c
"Why is `chat.completions.parse` the right method for Gemini through the OpenAI-compatible endpoint, and how do I set it up?",341f71f28c
"How do I install Ollama on Mac, Windows, or Linux, and is there a different file or command for each OS?",1d0b969028
"After I install Ollama, what should I run to download and start a local model like LLaMA 3?",1d0b969028
How can I quickly check that the Ollama server is actually running on my machine?,1d0b969028
"What do I need to install in Python to call Ollama from code, and what does a basic chat example look like?",1d0b969028
"When I try Ollama locally, how do I know it’s working and what response should I expect from the server?",1d0b969028
"Why am I getting a connection refused error when I try to prompt my Ollama RAG setup, and how do I fix it?",c6fc2d4d11
Do I need to restart the Ollama server if my notebook stops after running the serve cell?,c6fc2d4d11
What command should I use to bring Ollama back up when the RAG homework says connection refused?,c6fc2d4d11
"If Ollama shuts down during the assignment, is rerunning the serve cell enough to make prompting work again?",c6fc2d4d11
How can I restart Ollama in the background so my RAG notebook stops throwing connection refused errors?,c6fc2d4d11
Why does `tiktoken.encode()` give me fewer tokens than the OpenAI API says for the same prompt?,bf0403d21b
"In chat completions, what extra tokens does OpenAI add around each message and at the start of the assistant reply?",bf0403d21b
"Could newlines, spaces, or weird Unicode characters make my token count higher than what I counted locally?",bf0403d21b
I counted 320 tokens in my prompt but the API shows 327 — where do those extra tokens come from?,bf0403d21b
Is there a reason token counts from my own code never match OpenAI’s numbers exactly in `chat.completions.create()`?,bf0403d21b
How can I keep my API key loaded automatically in a project instead of re-exporting it in every new terminal?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc and is a bit more portable?,8b2f5e9d04
What do I need to put in my shell startup file so the key is picked up when I enter the folder?,8b2f5e9d04
Do I need to add .env or .envrc to .gitignore so I don't accidentally push secrets to GitHub?,8b2f5e9d04
"If I'm using Python or Codespaces, what's the recommended way to handle the environment file or secret?",8b2f5e9d04
How do I decide the right field weights in minsearch or any other search engine without just guessing?,87d4ea4e08
What’s the best way to tune search field weights for retrieval quality in a small RAG project?,87d4ea4e08
"Should I use trial and error for field weights, or is there a better method to evaluate them properly?",87d4ea4e08
How can I test different weight settings and know which one actually improves search results?,87d4ea4e08
"What metrics should I look at when comparing field weights for search, like hit rate or MRR?",87d4ea4e08
"What’s the best way to clean up documents before using them in RAG, and what kind of noise should I remove?",649c280e6d
"When preparing source files for retrieval, what context should I keep so the chunks still make sense later?",649c280e6d
"Do I need to convert everything into JSON for RAG, or is another format okay too?",649c280e6d
How should I chunk documents for a RAG pipeline so related information stays together?,649c280e6d
What metadata is worth saving when preprocessing docs for retrieval and ranking?,649c280e6d
"In GitHub Codespaces, when uv says it failed to hardlink files, is that actually a problem or can I ignore it?",acf8fa5356
Does uv still install the package if it can’t use hardlinks between the cache and my environment?,acf8fa5356
How do I stop the hardlink warning from uv for just my current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode in Codespaces so I don’t keep seeing that warning?,acf8fa5356
Is there any official place I should check for more info about uv and this hardlink warning?,acf8fa5356
I keep getting “dotenv is not recognized” when I run my project. What package do I need to install to fix this?,0bed1f48da
Which Python package should I add if dotenv isn’t being found in my environment?,0bed1f48da
How do I install dotenv support in a uv project?,0bed1f48da
"After installing the dotenv package, how do I load my .env file in Python?",0bed1f48da
"Is the package for dotenv called python-dotenv, and what import should I use after adding it?",0bed1f48da
"Is Codespaces required for this course, or can I set everything up on my own machine?",aa310de435
"Can I do the Module 1 work locally if I already have Python, uv, Jupyter, and Docker installed?",aa310de435
"Do I need to use Codespaces, or is it only the simplest option for getting started?",aa310de435
What tools do I need if I want to run the course environment on my laptop instead of Codespaces?,aa310de435
"If I work locally, do I need to keep track of my setup somehow so it can be reproduced later?",aa310de435
"If I keep coding in Codespaces but never commit, where does my code actually live?",610ccb23c0
Will my work in GitHub Codespaces still be there if I close it and don’t commit changes?,610ccb23c0
"Do I have to commit code from Codespaces right away, or is it already saved somewhere else?",610ccb23c0
What happens to files I edit in Codespaces if the VM gets stopped or deleted before I push anything?,610ccb23c0
"Is it safe to leave my uncommitted work in Codespaces for later, or should I commit often?",610ccb23c0
Why does WSL2 say the model needs more system memory even though my PC has enough RAM?,f3dd94f323
How can I make WSL2 use more RAM for running a model that needs more memory?,f3dd94f323
Where do I put the .wslconfig file to increase WSL2 memory on Windows?,f3dd94f323
What should I write in .wslconfig to give WSL2 8GB of RAM?,f3dd94f323
"After changing the WSL2 memory limit, how do I restart it and check that the new RAM setting worked?",f3dd94f323
"Why does my GitHub Codespace keep getting stuck on ""Finishing up,"" and what should I try first?",830f3d2018
"If my Codespace won’t reconnect at all, is there an easy workaround before I delete it?",830f3d2018
"I reopened my Codespace and everything looks gone — did my work get wiped, or is this normal?",830f3d2018
"Do files in `/workspaces` survive after stopping a Codespace, or do I need to save everything somewhere else?",830f3d2018
"If Codespaces keeps acting flaky for the course, can I switch to running everything on my own machine instead?",830f3d2018
"Can I swap OpenAI for another LLM if it's blocked where I live, or does the course require OpenAI only?",c6ff9083c0
What providers can I use with the course code if I want an OpenAI-style API but not OpenAI itself?,c6ff9083c0
"Do I need to rewrite the code a lot when changing from OpenAI to something like Groq, OpenRouter, or Mistral?",c6ff9083c0
"Is it okay to run the model locally with Ollama, vLLM, or LM Studio instead of calling an external API?",c6ff9083c0
"If my preferred model can't run on my laptop, can I rent a GPU server and point the course to that?",c6ff9083c0
What’s the easiest way to stop 429 errors from OpenAI when I’m looping over lots of docs in the notebook?,8e21752415
"Should I just increase retries in the OpenAI client, and how do I set that up?",8e21752415
How many workers should I use in a thread pool so I don’t blow through the per-minute limit?,8e21752415
Do I really need to cache embeddings and responses locally before rerunning the notebook?,8e21752415
Is there a cheaper model or free provider I can use for the course instead of hitting OpenAI limits?,8e21752415
"What exactly do tools or functions mean in agentic RAG, and are they basically the same thing?",c296ea5a21
When would a model call a tool instead of just answering on its own in an agentic RAG setup?,c296ea5a21
Can you give examples of the kinds of external help a tool/function can provide in this course?,c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
Should I worry about the difference between the words 'tool' and 'function' when studying this module?,c296ea5a21
Which free model providers can I use if I need tool calling support for my agent?,0d74a3616f
"Does Groq have any models with tool use, and are they free for development?",0d74a3616f
Can I use models like Deepseek R1 or Llama 4 with tools without paying?,0d74a3616f
"Besides OpenAI, what other LLMs or providers support function calling or tool use?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my tool-calling code?",0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI Responses API with a model from another provider?,9e7b3f0c25
"Can I use `client.responses.create()` with Mistral, Groq, or Gemini, or is that only for OpenAI models?",9e7b3f0c25
"If I'm not on OpenAI, what should I use instead of `response.output` to read the model answer?",9e7b3f0c25
How do I switch my code from Responses API to chat completions for a non-OpenAI model?,9e7b3f0c25
"For the course homework, is it okay to keep using the older `chat.completions` API if my provider works better with it?",9e7b3f0c25
I'm using Azure OpenAI and keep getting `Missing required parameter: tools[0].function` — what am I doing wrong with my tool setup?,b9c7c6bb34
How should I define the `get_weather_tool` JSON so Azure OpenAI accepts it without the 400 error?,b9c7c6bb34
Do I need a nested `function` field inside the tool definition for the weather tool?,b9c7c6bb34
What should the JSON look like for a `get_weather` function tool with a `city` parameter?,b9c7c6bb34
"Why is my weather tool request failing with `tools[0].function` missing, and what's the correct fix?",b9c7c6bb34
Why do I get a 404 error in toyaikit when I point it to Groq or another non-OpenAI API?,0224d980b3
How can I make toyaikit work with Groq if `OpenAIResponsesRunner` keeps failing?,0224d980b3
"Is there a way to use Anthropic with toyaikit instead of OpenAI, and which runner should I pick?",0224d980b3
"What’s the difference between the Responses endpoint and chat completions in toyaikit, and why does it matter for OpenAI-compatible providers?",0224d980b3
"If I just want to test one turn in toyaikit, should I use `runner.loop()` or `runner.run()`?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework listed somewhere on GitHub, or do I need to check the course platform too?",53f15299b6
"For the 2026 Module 1 assignment, which page has the homework instructions and materials?",53f15299b6
"Do I need to look at the repo, the platform, or both to get the homework details?",53f15299b6
Where should I go if I want the homework prompt plus any extra notes or context?,53f15299b6
Why am I getting an empty list back after filtering my query in homework Q3?,83da208a64
Could this be caused by the way I indexed the data before running the filter?,83da208a64
Do I need to set up the index settings before I load the documents into Elasticsearch?,83da208a64
My query works but the filtered result is empty — what am I missing when creating the index?,83da208a64
How do I fix the homework Q3 issue where filtering returns no results even though the data is there?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create(), and how do I stop it?",cfb07a27d5
Is there a specific max_output_tokens value I should set in Module 1 so my free OpenRouter key doesn’t fail?,cfb07a27d5
"In rag_helper.py, where exactly should I add the max_output_tokens limit for the llm() call?",cfb07a27d5
"For the ToyAIKit homework, how do I pass the output token limit through OpenAIClient?",cfb07a27d5
"If I still see 402 after lowering max_output_tokens, what should I check in my .env and OpenRouter settings?",cfb07a27d5
"In Module 1 homework, when it says to point RAG at the chunk index, does that mean I should search over the split pieces instead of the full docs?",b4300adeb1
"If I have both `documents` and `chunks`, which one should I pass to `index.fit()` for the homework RAG setup?",b4300adeb1
"Does the retriever in the Module 1 assignment need to pull whole documents, or just the chunked records?",b4300adeb1
Why is the prompt supposed to include only the retrieved chunks and not the original documents in the RAG pipeline?,b4300adeb1
"In the homework, what’s the difference between building the index on `chunks` versus building it on `documents`?",b4300adeb1
"For the homework, do my numeric answers have to be exact matches to the choices, or is being close enough?",5e4ca64cb5
"If my result is a bit different from all the multiple-choice options, should I still pick the nearest one?",5e4ca64cb5
Why do homework answers sometimes not line up perfectly with the listed options?,5e4ca64cb5
What should I check if my answer is way off and doesn't seem close to any option?,5e4ca64cb5
"Could differences in filtering, dataset version, or rounding explain why my homework output doesn't match the options exactly?",5e4ca64cb5
I’m confused by the homework wording — should I check the GitHub instructions instead of just the course page?,7d3a2e3505
"For Module 1 in the 2026 cohort, where exactly are the homework materials and the homework file?",7d3a2e3505
Why does the homework sometimes feel different from the lesson even though it’s about the same topic?,7d3a2e3505
"If I still can’t understand a homework task, what’s the best way to ask for help in Slack?",7d3a2e3505
"Should I paste screenshots when I ask about homework issues, or is it better to share the code/output as text?",7d3a2e3505
How should I count tokens for the Module 1 homework if I’m using a provider that isn’t OpenAI?,fe8fed31e6
Where do I get the token usage from the response object for this homework?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in Module 1?",fe8fed31e6
What should I do if my model provider doesn’t return any token usage information?,fe8fed31e6
"For the multiple-choice homework questions, what do I pick if my token count is only an estimate?",fe8fed31e6
"Why does my homework link get rejected with a non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to access it?,bcdb8740ce
"Should I submit the repo URL with the .git suffix, or just the normal link?",bcdb8740ce
How can I tell if the homework URL is actually reachable by the checker before resubmitting?,bcdb8740ce
What are the most common reasons a repo URL returns 404 or 500 when I submit homework?,bcdb8740ce
"What exactly are embeddings, and why do we turn non-numerical data into numbers?",69430a79a8
How do embeddings keep the meaning or context of the original text or data?,69430a79a8
Why should similar inputs produce vectors that are close to each other in embedding space?,69430a79a8
How are embeddings used to measure semantic similarity with math?,69430a79a8
"What is the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How do I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" and sentence-transformers version 3?",aa3f597424
"Is there a way to suppress the ""was made on sentence transformers v3.0.0"" warning in Module 2?",aa3f597424
What should I upgrade if I keep seeing this sentence-transformers warning with multi-qa-mpnet-base-dot-v1?,aa3f597424
How can I stop that version mismatch warning without changing the model?,aa3f597424
Do I need a newer sentence-transformers version to avoid the warning message?,aa3f597424
Why did the lesson use just dot product for similarity instead of explicitly normalizing vectors?,92cd22cada
Is dot product really the same as cosine similarity in the embedding examples from class?,92cd22cada
Why do we have to normalize vectors in the homework but not in the lesson code?,92cd22cada
"Do OpenAI embeddings come out already normalized, and does that make .dot() enough?",92cd22cada
"With TF-IDF plus SVD in the assignment, why doesn't dot product automatically work like cosine similarity?",92cd22cada
"For vector search, do I need to embed the question, the answer, or both?",5c4a8d2e60
Is it better to index only the answer text or only the question text for retrieval?,5c4a8d2e60
Does combining the question and the answer into one embedding usually work best?,5c4a8d2e60
How should I decide which embedding setup gives the best search results?,5c4a8d2e60
"In the vector search homework, what’s the difference between embedding text only, question only, and question plus text?",5c4a8d2e60
How does cosine similarity measure how close two vectors are in text search?,db78580409
Why is cosine similarity used for comparing documents instead of plain distance?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity be applied to word count or TF-IDF vectors in document comparison?,db78580409
Why do vector search systems often rely on the angle between vectors rather than their raw values?,db78580409
Why does cosine similarity become just a dot product once embeddings are normalized?,95feb4e75b
How does normalizing vectors make cosine similarity ignore magnitude?,95feb4e75b
Why can we use matrix multiplication to compare a query with all document embeddings?,95feb4e75b
What is the connection between cosine similarity and the dot product in vector search?,95feb4e75b
"If all vectors are unit length, why is cosine similarity computed so efficiently with matrices?",95feb4e75b
"For Module 2, do I actually need to make another GitHub repository, or is creating a fresh codespace enough?",1e829a8c6f
"If I already have the course repo, should I start Vector Search in a new codespace from that same repo?",1e829a8c6f
Why does Module 2 recommend using a separate codespace instead of continuing in the one I used for Module 1?,1e829a8c6f
What happens if I delete the Module 2 codespace later — do I need to push my changes first?,1e829a8c6f
Is the idea that the repository stays the same and only the Codespaces environment changes for this module?,1e829a8c6f
Why does download.py keep hanging at 0% when it tries to get model.onnx from HuggingFace?,29b69fbe0b
Is there a workaround if the model download from HuggingFace is stuck and never starts?,29b69fbe0b
Can I manually grab model.onnx in the browser and still have the script work normally afterward?,29b69fbe0b
What should I do if the CDN seems blocked or super slow while downloading the ONNX model?,29b69fbe0b
"If I save model.onnx into the models/Xenova/all-MiniLM-L6-v2 folder myself, will download.py skip the download step?",29b69fbe0b
"Why do my vector search scores from `X.dot(v_query)` not match the for-loop version exactly, even though they should be the same math?",e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to return false when I compare the matrix and loop implementations of dot products?",e889793af9
What causes the tiny differences between the optimized matrix version and a plain Python loop in vector search?,e889793af9
Should I worry if the vector search scores differ only in the last few decimal places between two implementations?,e889793af9
What’s the best way to compare vector search results when floating-point rounding makes the values not exactly equal?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the top chunk in vector search?,1a7b27c4df
What usually causes the best-chunk lookup to fail with a list index error in this module?,1a7b27c4df
Could the index error mean my embeddings and chunks are not lining up?,1a7b27c4df
How should I build embeddings so they match the number of chunks correctly?,1a7b27c4df
What is the right way to create `X` from my chunk list to avoid this error?,1a7b27c4df
"In Module 2 homework, my cosine similarity for Q2 doesn’t match any choice — is it because I used the wrong embedding model?",eaa17a9dc6
"For the homework similarity check, should I use the ONNX Embedder or sentence-transformers, and could that change the result?",eaa17a9dc6
I got a cosine value that isn’t in the multiple-choice answers — what exactly should I be embedding and comparing?,eaa17a9dc6
"Does the page text need to be the content field for Q2, or can I use the whole record / filename by mistake?",eaa17a9dc6
"If my similarity number is a little different from the listed options, should I worry about normalization or just choose the nearest answer?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily API keys for the Kestra exercises?",3860e5fe8b
Do I need both a normal Gemini key and a SECRET_ version for Kestra to work?,3860e5fe8b
Why is Kestra not seeing my API key unless I base64-encode it first?,3860e5fe8b
What’s the right way to export secrets before starting Kestra in Docker Compose?,3860e5fe8b
"In a Kestra flow, how should I reference the Gemini secret without the SECRET_ prefix?",3860e5fe8b
"Why does Kestra Copilot keep saying it can only help with creating flows, and what setting am I missing?",04440cab11
"In Kestra Open Source, do I need to use GEMINI_API_KEY or SECRET_GEMINI_API_KEY for the AI Copilot?",04440cab11
"I already put a Gemini key in my flow secrets, but the Copilot still refuses — what should I restart or export?",04440cab11
How can I check if Kestra is actually seeing my Gemini API key before I run docker compose up?,04440cab11
"Could this Kestra Copilot error be caused by a bad key, a typo, or hitting Gemini free-tier limits?",04440cab11
Why does my Kestra flow say the Gemini key is invalid or missing even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
"Could a bad base64 encode be the reason Kestra can’t read my API secret, and how should I export it correctly?",c8ca21af33
"Do I need to restart Kestra after changing environment variables, or does it pick them up automatically?",c8ca21af33
"In my flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY inside secret(...) ?",c8ca21af33
What's the cleanest way to load API keys for Kestra — is using a .env file better than exporting them in the shell?,c8ca21af33
Why can't I just use a notebook for this stuff instead of an orchestrator like Kestra?,193612db63
What does Kestra add that a plain Python script or notebook doesn't have for AI workflows?,193612db63
"In Module 3, why is Kestra used as the main tool for orchestration instead of something simpler?",193612db63
"How does Kestra help with things like retries, scheduling, and monitoring in an AI pipeline?",193612db63
"Does Kestra only work with OpenAI, or can I switch to other providers like Gemini or Anthropic without rewriting the flow?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only needed in Module 3?",cce328db64
"For the final project, can I build the pipeline with Airflow, Prefect, Dagster, or even plain Python instead of Kestra?",cce328db64
"If I already know Airflow, is it okay to just skip Kestra and do my own thing for the orchestration part?",cce328db64
"Does using a Jupyter notebook for the ingestion pipeline still count, or do I need an actual orchestrator to get full points?",cce328db64
"Are Kestra AI plugins locked to one model provider, or can I switch between OpenAI, Gemini, Anthropic, etc.?",cce328db64
"Does Kestra only work with Gemini, or can I plug in Groq, Ollama, or another local model too?",f442efe5b4
Which AI providers are supported in Kestra if I want to switch away from Gemini?,f442efe5b4
How do I use an OpenAI-compatible model in Kestra without changing my whole flow?,f442efe5b4
What’s the difference between the generic AI plugin and the provider-specific plugins in Kestra?,f442efe5b4
